image_stem,method,psnr
aerial,box_3x3,13.781772136936844
aerial,box_5x5,13.702543744639277
aerial,box_9x9,13.455291778754344
aerial,gaussian_3x3,13.795869900312123
aerial,gaussian_5x5,13.816551269850486
aerial,gaussian_9x9,13.814859057893363
aerial,median_3x3,11.920523407787133
aerial,median_5x5,11.441817136459866
aerial,median_9x9,10.876785819272152
aerial,bilateral_3x3,13.236341606632465
aerial,bilateral_5x5,13.236341606632465
aerial,bilateral_9x9,13.236341606632465
aerial,wiener_3x3,13.846846930094882
aerial,wiener_5x5,13.771430297235828
aerial,wiener_9x9,13.521958848637382
aerial,nlm_3x3,12.474331003065844
aerial,nlm_5x5,12.474331003065844
aerial,nlm_9x9,12.474331003065844
boat,box_3x3,10.426342415666612
boat,box_5x5,10.556126529015746
boat,box_9x9,10.545639352521835
boat,gaussian_3x3,10.400361981654594
boat,gaussian_5x5,10.494944583325916
boat,gaussian_9x9,10.502027335159415
boat,median_3x3,8.630206717624477
boat,median_5x5,8.603263461443923
boat,median_9x9,8.614782417605122
boat,bilateral_3x3,9.517110451883262
boat,bilateral_5x5,9.517110451883262
boat,bilateral_9x9,9.517110451883262
boat,wiener_3x3,10.472511755106662
boat,wiener_5x5,10.607385706349808
boat,wiener_9x9,10.598301946255704
boat,nlm_3x3,8.643525060499055
boat,nlm_5x5,8.643525060499055
boat,nlm_9x9,8.643525060499055
brick_wall,box_3x3,16.419329115131685
brick_wall,box_5x5,15.022945115281594
brick_wall,box_9x9,13.304665882244368
brick_wall,gaussian_3x3,17.14118803209234
brick_wall,gaussian_5x5,16.690033271850055
brick_wall,gaussian_9x9,16.626149283248377
brick_wall,median_3x3,16.37416724812059
brick_wall,median_5x5,15.356638834351513
brick_wall,median_9x9,13.720226746529478
brick_wall,bilateral_3x3,17.165869696110796
brick_wall,bilateral_5x5,17.165869696110796
brick_wall,bilateral_9x9,17.165869696110796
brick_wall,wiener_3x3,16.548526313213667
brick_wall,wiener_5x5,15.234187848554326
brick_wall,wiener_9x9,13.772312604339902
brick_wall,nlm_3x3,19.511535914776246
brick_wall,nlm_5x5,19.511535914776246
brick_wall,nlm_9x9,19.511535914776246
cameraman,box_3x3,19.053315658864157
cameraman,box_5x5,18.111943439918257
cameraman,box_9x9,17.161826845006395
cameraman,gaussian_3x3,19.37891510406579
cameraman,gaussian_5x5,19.131174721836956
cameraman,gaussian_9x9,19.099253531910925
cameraman,median_3x3,19.137284027397445
cameraman,median_5x5,18.245007280244124
cameraman,median_9x9,17.423375175669356
cameraman,bilateral_3x3,19.54323717211565
cameraman,bilateral_5x5,19.54323717211565
cameraman,bilateral_9x9,19.54323717211565
cameraman,wiener_3x3,19.682697638134336
cameraman,wiener_5x5,19.228895929830976
cameraman,wiener_9x9,18.735092013562312
cameraman,nlm_3x3,20.102611269222624
cameraman,nlm_5x5,20.102611269222624
cameraman,nlm_9x9,20.102611269222624
clock,box_3x3,20.339250735862574
clock,box_5x5,19.74834478658909
clock,box_9x9,18.754229227397573
